Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6562890462307371,0.6393272992211345,0.6393272992211345,0.7034703577032713,0.19829201698303223
Perceptron,0.7335485214493961,0.5475738854329719,0.5475738854329718,0.7481777149231112,0.29190611839294434
DecisionTreeClassifier,0.7503123698458976,0.5308450730879136,0.5308450730879136,0.7544045015854784,1.3410706520080566
ExtraTreeClassifier,0.7617659308621407,0.5305164343046849,0.5305164343046849,0.7604635527771356,0.22699332237243652
PassiveAggressiveClassifier,0.7679092044981258,0.5276257647399141,0.5276257647399141,0.7629078527997811,0.2707538604736328
BernoulliNB,0.8418367346938775,0.5241923765264385,0.5241923765264384,0.7926797974496724,0.20835351943969727
LabelPropagation,0.7710329029571013,0.5161639591561975,0.5161639591561975,0.7612858954003664,873.3270394802094
XGBClassifier,0.840795501874219,0.5159375447759782,0.5159375447759782,0.7879686670094491,0.9206724166870117
LinearDiscriminantAnalysis,0.8467305289462724,0.5140562778286929,0.5140562778286928,0.7882684257864085,1.1302170753479004
BaggingClassifier,0.8403790087463557,0.5139940983571102,0.5139940983571102,0.7867837792382406,9.60204005241394
KNeighborsClassifier,0.8343398583923365,0.5110027250829284,0.5110027250829284,0.7836180321806094,1.5989606380462646
AdaBoostClassifier,0.847667638483965,0.5097969840252827,0.5097969840252827,0.7858179164906233,3.5481488704681396
LGBMClassifier,0.8478758850478967,0.5085045634325231,0.5085045634325231,0.7850274962792599,0.7918000221252441
LogisticRegression,0.8469387755102041,0.507952551656272,0.5079525516562718,0.7845223239456326,0.427746057510376
CalibratedClassifierCV,0.8469387755102041,0.5062544438046267,0.5062544438046267,0.783427943904336,2.5120160579681396
GaussianNB,0.164618908788005,0.5045159530896439,0.5045159530896438,0.0687574927883813,0.21579885482788086
ExtraTreesClassifier,0.8480841316118284,0.5029668732106506,0.5029668732106505,0.7813912727929525,8.776341438293457
QuadraticDiscriminantAnalysis,0.164618908788005,0.5025348272627245,0.5025348272627245,0.06999441550489337,0.3700132369995117
LinearSVC,0.8485006247396918,0.5020801398767765,0.5020801398767766,0.7808276969885961,13.320533990859985
RandomForestClassifier,0.8483965014577259,0.5020188052349708,0.5020188052349709,0.7807747957351189,13.454161167144775
RidgeClassifier,0.8486047480216576,0.5010094026174854,0.5010094026174854,0.7800936759055911,0.22167634963989258
RidgeClassifierCV,0.8486047480216576,0.5010094026174854,0.5010094026174854,0.7800936759055911,0.38652825355529785
SGDClassifier,0.8451686797167847,0.5001174313389943,0.5001174313389943,0.7791326927850406,0.9204466342926025
DummyClassifier,0.8488129945855893,0.5,0.5,0.77940116376005,0.14207172393798828
SVC,0.8487088713036235,0.4999386653581943,0.4999386653581943,0.7793494473519728,209.64045906066895
