Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6477509371095377,0.6331657866919711,0.6331657866919711,0.6964746389857271,0.10009074211120605
PassiveAggressiveClassifier,0.7654102457309454,0.5555876027650941,0.5555876027650941,0.7682543304851256,0.14414548873901367
ExtraTreeClassifier,0.7644731361932529,0.5408846922251329,0.5408846922251329,0.7644064201898321,0.1461327075958252
DecisionTreeClassifier,0.7583298625572678,0.5398131101360649,0.5398131101360649,0.7608136125085693,0.9701719284057617
LabelPropagation,0.7761349437734277,0.5304900756156443,0.5304900756156443,0.7678309681521758,59.00824308395386
LabelSpreading,0.7761349437734277,0.5302070576403701,0.5302070576403701,0.7677529101324506,62.85379910469055
Perceptron,0.7945647646813827,0.5297425702290097,0.5297425702290096,0.7764850862825855,0.11761164665222168
XGBClassifier,0.8437109537692629,0.5244473461531183,0.5244473461531183,0.7933671336431792,0.30841064453125
BernoulliNB,0.8399625156184923,0.5202581732211939,0.5202581732211939,0.7900741425792113,0.11274099349975586
BaggingClassifier,0.840795501874219,0.5153715088254298,0.5153715088254298,0.7876551882707695,6.418692350387573
LinearDiscriminantAnalysis,0.8477717617659308,0.5132545343703788,0.5132545343703788,0.7879930628435238,0.3583388328552246
KNeighborsClassifier,0.8344439816743023,0.5116300956752826,0.5116300956752826,0.7839815997386742,0.923020601272583
LGBMClassifier,0.8492294877134527,0.5104339856770939,0.5104339856770939,0.7864877579385445,0.3359687328338623
AdaBoostClassifier,0.8485006247396918,0.5097216252091799,0.5097216252091797,0.7859103402370453,2.5710175037384033
GaussianNB,0.23479800083298624,0.5090631648810344,0.5090631648810344,0.2133738033193197,0.12311196327209473
CalibratedClassifierCV,0.8486047480216576,0.5061037261724209,0.5061037261724209,0.7835657561858941,2.0372278690338135
LogisticRegression,0.8478758850478967,0.5059574016550553,0.5059574016550553,0.7833687794806696,0.32932472229003906
QuadraticDiscriminantAnalysis,0.21574344023323616,0.5054804107629962,0.5054804107629962,0.17822006405697308,0.16215062141418457
ExtraTreesClassifier,0.8478758850478967,0.5028442039270392,0.5028442039270392,0.7812843064466648,5.393083333969116
RandomForestClassifier,0.8482923781757601,0.5016744526178909,0.5016744526178909,0.7805264292181338,8.449196100234985
SGDClassifier,0.8479800083298625,0.5006413947666513,0.5006413947666511,0.7797796882124634,0.5395276546478271
RidgeClassifier,0.8485006247396918,0.5003820320251313,0.5003820320251313,0.7796448139783763,0.11411547660827637
RidgeClassifierCV,0.8485006247396918,0.5003820320251313,0.5003820320251313,0.7796448139783763,0.24179649353027344
LinearSVC,0.8485006247396918,0.5003820320251313,0.5003820320251313,0.7796448139783763,7.636044025421143
DummyClassifier,0.8488129945855893,0.5,0.5,0.77940116376005,0.08490896224975586
SVC,0.8486047480216576,0.4998773307163886,0.4998773307163886,0.7792977251180075,104.12819790840149
